Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,Geolocation,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2018,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.8,11.8,,,11.3,12.2,8006,3104208,Overall,Overall,,,DISEST,STATTYPE,,82,Q6MOB,AGEADJPREV,CAT1,BO1,,
2018,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.7,4.7,,,4.2,5.3,581,1429797,Overall,Overall,,,DISEST,STATTYPE,"(37.63864012300047, -120.99999953799971)",06,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.0,9.0,,,8.5,9.6,1433,376616,Overall,Overall,,,DISEST,STATTYPE,"(46.35564873600049, -94.79420050299967)",27,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.8,24.8,,,24.0,25.7,10005,3869293,Overall,Overall,,,DISEST,STATTYPE,"(42.82700103200045, -75.54397042699964)",36,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.8,6.8,,,5.8,8.0,394,71653,Overall,Overall,,,DISEST,STATTYPE,"(43.65595011300047, -71.50036091999965)",33,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.3,7.3,,,6.0,8.9,290,94686,Overall,Overall,,,DISEST,STATTYPE,"(43.682630005000476, -114.3637300419997)",16,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.4,3.4,,,2.2,5.1,47,3327,Overall,Overall,,,DISEST,STATTYPE,,66,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.7,5.7,,,4.9,6.5,1092,1013335,Overall,Overall,,,DISEST,STATTYPE,"(28.932040377000476, -81.92896053899966)",12,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,38.6,38.6,,,36.8,40.4,2206,596274,Overall,Overall,,,DISEST,STATTYPE,"(38.66551020200046, -80.71264013499967)",54,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,CO,Colorado,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.1,2.1,,,1.8,2.5,210,91543,Overall,Overall,,,DISEST,STATTYPE,"(38.843840757000464, -106.13361092099967)",08,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,AZ,Arizona,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,74.2,74.2,,,72.6,75.8,5195,3836860,Overall,Overall,,,DISEST,STATTYPE,"(34.865970280000454, -111.76381127699972)",04,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.1,5.1,,,4.3,5.9,405,57072,Overall,Overall,,,DISEST,STATTYPE,"(21.304850435000446, -157.85774940299973)",15,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,6.7,6.7,,,5.7,7.8,434,158593,Overall,Overall,,,DISEST,STATTYPE,"(34.74865012400045, -92.27449074299966)",05,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.6,3.6,,,2.9,4.3,213,121150,Overall,Overall,,,DISEST,STATTYPE,"(44.56744942400047, -120.15503132599969)",41,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,5.8,5.8,,,5.1,6.6,344,174388,Overall,Overall,,,DISEST,STATTYPE,,72,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,6.2,6.2,,,5.4,7.1,363,225588,Overall,Overall,,,DISEST,STATTYPE,"(31.31266064400046, -92.44568007099969)",22,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,MD,Maryland,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21.2,21.2,,,20.2,22.3,4484,1013057,Overall,Overall,,,DISEST,STATTYPE,"(39.29058096400047, -76.60926011099963)",24,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,8.1,8.1,,,7.2,9.1,535,462295,Overall,Overall,,,DISEST,STATTYPE,"(35.68094058000048, -85.77449091399967)",47,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,HHS1,HHS Region 1,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.4,76.4,,,75.6,77.2,32257,8648448,Overall,Overall,,,DISEST,STATTYPE,,80,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,MD,Maryland,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.1,3.1,,,2.7,3.6,631,151633,Overall,Overall,,,DISEST,STATTYPE,"(39.29058096400047, -76.60926011099963)",24,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.9,5.9,,,5.0,6.9,359,51377,Overall,Overall,,,DISEST,STATTYPE,"(47.06652897200047, -109.42442064499971)",30,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.1,76.1,,,75.0,77.1,8278,21724439,Overall,Overall,,,DISEST,STATTYPE,"(37.63864012300047, -120.99999953799971)",06,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,12.4,12.4,,,11.1,13.7,761,580554,Overall,Overall,,,DISEST,STATTYPE,"(38.635790776000476, -92.56630005299968)",29,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.5,9.5,,,9.0,10.2,1170,258377,Overall,Overall,,,DISEST,STATTYPE,"(42.46940091300047, -93.81649055599968)",19,Q6MOB,AGEADJPREV,CAT1,BO1,,
2018,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.0,6.0,,,5.1,6.9,871,1250256,Overall,Overall,,,DISEST,STATTYPE,"(31.827240407000488, -99.42677020599967)",48,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,NM,New Mexico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.0,6.0,,,5.3,6.7,606,107771,Overall,Overall,,,DISEST,STATTYPE,"(34.52088095200048, -106.24058098499967)",35,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.4,6.4,,,5.8,7.1,684,140311,Overall,Overall,,,DISEST,STATTYPE,"(38.34774030000045, -98.20078122699965)",20,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.6,13.6,,,12.7,14.6,1206,1001734,Overall,Overall,,,DISEST,STATTYPE,"(44.6613195430005, -84.71439026999968)",26,Q6COG,AGEADJPREV,CAT1,BO1,,
